index,Site,Date,Time,Initials,Filename,Taxon,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,deltaT_C,Notes
1,WAY,31418,9:30:00,LH,031418-LH-EOK2330,Paspalum,4.012279895,0.040916546,216.6800618,0.919081911,1.621140267,17.89516881,6,1.420000017,1,2.840000033,9.144646136,17.89516881,6.947091579,399.604716,386.484495,3.285548131,6.029879538,20.43989487,37.51279729,199.7295125,1700.493327,71.48052928,72.39335836,1.682562351,0.078343749,0.800000012,-0.219565243,2.737391472,1,0,0.159999996,111115,0.332882521,9.19E-04,291.0451688,282.2946461,272.0789262,1.7066162,2.057663497,28.42337405,22.39349451,13.51990747,1.55499505,0.040335422,0.43652323,1.11847182,0.025261213,15.68619714,0.560642789,20.97211028,384.5772493,0.002188042,,,,,,Turf collected 2 days before measurement
2,WAY,31418,9:30:00,LH,031418-LH-EOK2330,Paspalum,4.297761589,0.041105372,203.7254686,1.046942678,1.834696602,19.67647133,6,1.420000017,1,2.840000033,13.18247102,19.67647133,11.98090286,399.3560832,385.2342834,3.303204409,6.427949683,15.7194245,30.58957736,199.7371816,1700.080282,47.96520131,72.38930054,1.682562351,0.078343749,0.888888896,-0.219565243,2.737391472,1,0,0.159999996,111115,0.332895303,0.001046943,292.8264713,286.332471,272.012839,1.88383596,2.30001138,31.77280837,25.34485869,16.42947117,1.875357787,0.040518912,0.465314778,1.410043009,0.025376365,14.74754523,0.528834861,19.83794696,383.1913334,0.002224988,,,,,,Turf collected 2 days before measurement
3,WAY,31418,9:30:00,LH,031418-LH-EOK2330,Paspalum,4.95429354,0.042705138,183.426986,1.177005871,1.97760042,22.16931826,6,1.420000017,1,2.840000033,17.54129791,22.16931826,16.973047,400.3586324,384.117157,6.216831875,9.718335088,22.3620252,34.95697479,199.7257294,1699.156689,48.17987722,72.38198395,2.256364584,0.06512773,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.332876216,0.001177006,295.3193183,290.6912979,271.8650642,2.019212666,2.681032792,37.04005661,27.32172152,19.85530809,2.325669743,0.042072487,0.703432371,1.622237371,0.026351422,13.27680864,0.477527525,25.59049693,381.7621231,0.003320952,,,,,,Turf collected 2 days before measurement
4,WAY,31418,9:30:00,LH,031418-LH-EOK2330,Paspalum,5.477938121,0.045675135,173.4963705,1.398366762,2.189869869,24.42171491,6,1.420000017,1,2.840000033,21.82827593,24.42171491,21.96430054,399.8786764,381.8178467,8.034639359,12.18442631,22.14484227,33.5823616,199.7203969,1698.714575,45.5598114,72.37275035,2.256364584,0.06512773,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.332867328,0.001398367,297.5717149,294.9782759,271.794326,2.146740203,3.071690312,42.44263615,30.25820984,23.12499542,2.841125142,0.044952177,0.881820443,1.959304699,0.028159182,12.5564095,0.45439538,27.86618806,379.2138973,0.004025425,,,,,,Turf collected 2 days before measurement
5,WAY,31418,9:30:00,LH,031418-LH-EOK2330,Paspalum,5.948649641,0.045956044,155.4336942,1.510787253,2.338560897,26.76640549,6,1.420000017,1,2.840000033,26.1991066,26.76640549,26.94818268,399.2726013,379.6750814,12.00460567,16.46933187,25.44365794,34.90660172,199.6860026,1699.739836,42.21491623,72.36405792,2.256364584,0.06512773,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.332810004,0.001510787,299.9164055,299.3491066,271.9583676,2.349002452,3.530348582,48.78593993,32.31660806,26.48275604,3.471859534,0.045224237,1.191787685,2.28007185,0.028329998,11.24781267,0.409383908,32.61456739,376.8473782,0.005148353,,,,,,Turf collected 2 days before measurement
6,WAY,31418,9:30:00,LH,031418-LH-EOK2330,Paspalum,6.637321299,0.048896505,141.6522636,1.839392775,2.660714523,29.57909203,6,1.420000017,1,2.840000033,30.85116285,29.57909203,31.94172236,399.9439514,377.9105835,15.28669173,20.69949671,24.72812144,33.48400497,199.6729696,1699.58811,29.33870684,72.36011963,2.256364584,0.06512773,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.332788283,0.001839393,302.729092,304.0011628,271.9340916,2.426571294,4.158532581,57.46995164,36.77045492,30.21512744,4.313381343,0.048068891,1.497818058,2.815563285,0.030116332,10.24997471,0.374830067,34.54262621,374.7555188,0.006117861,,,,,,Turf collected 2 days before measurement
7,WAY,31418,9:30:00,LH,031418-LH-EOK2330,Paspalum,5.594051141,0.045037051,159.3459385,2.00927064,3.11969295,33.05356267,6,1.420000017,1,2.840000033,35.67707011,33.05356267,36.93863653,399.407428,380.2991984,21.04654452,26.92243894,25.96618576,33.21557032,199.6471293,1699.261841,33.78718618,72.34260356,6.836879253,-0.150258854,0.777777791,-0.219565243,2.737391472,1,0,0.159999996,111115,0.332745216,0.002009271,306.2035627,308.8270701,271.8818885,2.532223174,5.067332271,70.0463079,43.12386896,34.36531639,5.452856517,0.044333991,1.947639321,3.505217196,0.027771064,11.52750032,0.418999284,36.30820708,377.6400544,0.005378462,,,,,,Turf collected 2 days before measurement
8,WAY,31418,9:30:00,LH,031418-LH-EOK2330,Paspalum,5.481953423,0.043125673,153.3091296,2.15099229,3.464693324,34.98287175,6,1.420000017,1,2.840000033,39.9676501,34.98287175,41.93280818,399.8726908,380.9372864,23.84495888,30.11399295,23.30605952,29.43341192,199.6687775,1699.832129,29.89056015,72.33590342,8.208503723,-0.237067714,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.332781296,0.002150992,308.1328718,313.1176501,271.9731345,2.821413307,5.643016209,78.01127707,47.89728412,37.47526093,6.470287057,0.042480599,2.178322884,4.291964173,0.026607587,11.08975402,0.402452294,36.06394032,378.3314283,0.00522558,,,,,,Turf collected 2 days before measurement
9,WAY,31418,9:30:00,LH,031418-LH-EOK2330,Paspalum,4.919853695,0.040070341,158.361333,2.306728191,3.977311987,36.66265869,6,1.420000017,1,2.840000033,44.2800148,36.66265869,46.92136866,399.8403463,382.4077922,23.86929258,30.58807818,18.59118373,23.82426682,199.6941071,1699.747225,37.06840337,72.32897034,8.208503723,-0.237067714,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.332823512,0.002306728,309.8126587,317.4300148,271.9595499,3.164286909,6.189716184,85.57727479,54.98919661,40.47133675,7.6023825,0.039512825,2.212404196,5.389978304,0.024745007,11.45411174,0.414117826,32.73010315,380.0691293,0.004236685,,,,,,Turf collected 2 days before measurement
10,WAY,31418,9:30:00,LH,031418-LH-EOK2330,Paspalum,4.558432857,0.037040629,153.1668459,2.612561779,4.832307469,39.20597992,6,1.420000017,1,2.840000033,46.59996516,39.20597992,49.58403295,399.5543477,382.8548787,23.82261492,31.42468821,16.4661869,21.72072906,199.7188944,1700.068107,40.03650869,72.31856791,9.84965992,-0.301980972,0.911111116,-0.219565243,2.737391472,1,0,0.159999996,111115,0.332864824,0.002612562,312.3559799,319.7499652,272.0108911,2.988845199,7.104895916,98.24442207,66.81973386,42.90297254,8.643641716,0.036563745,2.272588448,6.371053268,0.022894713,11.07680714,0.400064642,28.20723571,380.6880181,0.003377596,,,,,,Turf collected 2 days before measurement
11,WAY,31418,9:30:00,STM,031418-STM-EOI5046,Paspallum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,Leaf did not function properly - BAD
12,PIL,31518,9:50:00,LH,031518-ASTLH-EOM0461,Rhynchospora,6.308394322,0.054015291,186.4976317,1.16027599,1.555806837,17.47562968,6,1.420000017,1,2.840000033,10.77011318,17.47562968,8.548671405,399.9233866,386.4089783,3.891909679,6.198238436,21.6873057,34.53910828,299.9791768,1701.131689,40.79307327,72.30287628,7.863718033,0.285079956,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499965295,0.001160276,290.6256297,283.9201132,272.1810642,1.824908238,2.003957304,27.71614911,21.51791068,14.12287143,1.617115762,0.053007123,0.448150467,1.168965295,0.033218578,13.48431496,0.482643001,22.4981299,383.4102697,0.003701703,,,,,,Turf collected 031418 at PIL OK 8.5-50 C - BAD; could possibly be EDM0461
13,PIL,31518,9:50:00,LH,031518-ASTLH-EOM0461,Rhynchospora,4.2235713,0.052657721,245.5672558,1.255823854,1.720673477,19.88021304,6,1.420000017,1,2.840000033,14.9564511,19.88021304,13.57376976,399.5574605,388.2244568,5.421437963,8.417010752,22.96960042,35.66127116,249.4188009,1698.835701,52.88558019,72.30472107,12.35119247,0.290193468,0.822222233,-0.219565243,2.737391472,1,0,0.159999996,111115,0.415698001,0.001255824,293.030213,288.1064511,271.8137062,1.960811176,2.329263092,32.21453674,23.79752599,17.41833207,1.99671772,0.051699142,0.608589614,1.388128106,0.03239674,17.7556706,0.632537624,25.96875572,386.2167733,0.002839901,,,,,,Turf collected 031418 at PIL OK 8.5-50 C - BAD; could possibly be EDM0461
14,PIL,31518,9:50:00,LH,031518-ASTLH-EOM0461,Rhynchospora,3.993887138,0.05072516,249.4941031,1.179446771,1.671428669,21.16719475,6,1.420000017,1,2.840000033,19.15928637,21.16719475,18.5685805,400.1789368,389.4671244,8.95517807,11.75885302,29.07402458,38.17648214,249.4392965,1698.913745,44.7284228,72.30848643,12.63608456,0.287170172,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.415732161,0.001179447,294.3171947,292.3092864,271.8261931,2.357610377,2.521693533,34.87410202,23.11524899,20.16324056,2.370440093,0.049835052,0.850264864,1.520175229,0.031225674,18.04054042,0.64060441,33.32653505,387.5686218,0.00343427,,,,,,Turf collected 031418 at PIL OK 8.5-50 C - BAD; could possibly be EDM0461
15,PIL,31518,9:50:00,LH,031518-ASTLH-EOM0461,Rhynchospora,3.680267599,0.040004513,223.420344,1.203722481,2.140644449,25.18401146,6,1.420000017,1,2.840000033,23.83533236,25.18401146,23.5627004,399.7300028,387.2700033,11.29282958,14.85626895,27.53193054,36.21959941,199.6677175,1699.8698,38.15026601,72.29836782,13.46197128,0.271508157,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.332779529,0.001203722,298.3340115,296.9853324,271.9791619,2.411079476,3.214728446,44.46474438,29.60847543,24.50967191,3.087905157,0.039448832,1.074083997,2.01382116,0.02470485,16.15292791,0.576911738,32.32914223,385.5205803,0.003086203,,,,,,Turf collected 031418 at PIL OK 8.5-50 C - BAD; could possibly be EDM0461
16,PIL,31518,9:50:00,LH,031518-ASTLH-EOM0461,Rhynchospora,3.319329344,0.036494141,223.3086677,1.302407676,2.521813952,28.00949618,6,1.420000017,1,2.840000033,28.0599678,28.00949618,28.54211159,399.567806,388.0735494,13.79125379,17.63623988,26.18429743,33.48445129,199.6529714,1700.38654,35.32690125,72.30170135,13.46197128,0.271508157,0.977777779,-0.219565243,2.737391472,1,0,0.159999996,111115,0.332754952,0.001302408,301.1594962,301.2099678,272.0618403,2.53921953,3.7969441,52.51527999,34.87904011,28.03473199,3.802531158,0.036031136,1.275130149,2.527401009,0.022560605,16.1455971,0.575428627,32.04208234,386.4956992,0.00275204,,,,,,Turf collected 031418 at PIL OK 8.5-50 C - BAD; could possibly be EDM0461
17,PIL,31518,9:50:00,LH,031518-ASTLH-EOM0461,Rhynchospora,3.732348223,0.035329885,198.6937008,1.322483383,2.638820522,28.86867739,6,1.420000017,1,2.840000033,28.43672485,28.86867739,28.55751483,400.0148214,387.2569539,14.80564054,18.70633469,27.50050875,34.74579061,199.6174713,1699.394938,31.67110697,72.30127665,13.46197128,0.271508157,0.844444454,-0.219565243,2.737391472,1,0,0.159999996,111115,0.332695786,0.001322483,302.0186774,301.5867249,271.903184,2.456593842,3.991312403,55.20389932,36.49756464,28.65270112,3.941653535,0.034895777,1.352491881,2.589161654,0.021848452,14.36580833,0.513079618,32.19241925,385.4827743,0.003116956,,,,,,Turf collected 031418 at PIL OK 8.5-50 C - BAD; could possibly be EDM0461
18,PIL,31518,9:50:00,LH,031518-ASTLH-EOM0461,Rhynchospora,2.954253037,0.032325087,219.8709066,1.446869786,3.127587521,32.0012366,6,1.420000017,1,2.840000033,32.77178955,32.0012366,33.5434789,400.1318278,389.5580037,18.54181506,22.79159177,26.87762833,33.03797023,199.6189596,1698.665202,28.40246798,72.29990946,16.04190445,0.238697559,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.332698266,0.00144687,305.1512366,305.9217896,271.7864262,2.55125978,4.775417543,66.05011787,43.25852609,32.38651307,4.880547186,0.031961301,1.647830022,3.232717164,0.020008182,15.89664656,0.564411075,32.23332163,388.1536933,0.002453294,,,,,,Turf collected 031418 at PIL OK 8.5-50 C - BAD; could possibly be EDM0461
19,PIL,31518,9:50:00,LH,031518-ASTLH-EOM0461,Rhynchospora,2.811958487,0.02989897,213.2670189,1.517922353,3.508489799,35.0597463,6,1.420000017,1,2.840000033,37.20455678,35.0597463,38.53832194,400.0469543,389.8175557,25.43007634,29.85584005,28.83816554,33.85706151,199.6405904,1699.069206,27.42513173,72.30064189,17.42336845,0.103983052,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.332734317,0.001517922,308.2097463,310.3545568,271.8510668,2.713111065,5.667086197,78.38223909,48.52639904,36.13215154,6.012291103,0.029587479,2.158596399,3.853694705,0.01851991,15.41934198,0.547094269,35.22973906,388.4808854,0.002550052,,,,,,Turf collected 031418 at PIL OK 8.5-50 C - BAD; could possibly be EDM0461
