index,Site,Date,Time,Initials,Filename,Taxon,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Notes
1,WAY,31418,9:30:00,LH,031418-LH-EOK2330,Paspalum,9.672028674,0.099439427,216.8719465,2.215544985,1.621140267,17.89516881,2.489,2.190893583,1,4.381787166,9.144646136,17.89516881,6.947091579,399.604716,386.484495,3.285548131,6.029879538,20.43989487,37.51279729,199.7295125,1700.493327,71.48052928,72.39335836,1.682562351,0.078343749,0.800000012,-0.219565243,2.737391472,1,0,0.159999996,111115,0.802448825,0.002215545,291.0451688,282.2946461,272.0789262,0.693947932,2.057663497,28.42337405,22.39349451,13.51990747,1.55499505,0.097232838,0.43652323,1.11847182,0.060964993,15.70008832,0.561139278,21.61244845,383.5046062,0.005450768,Turf collected 2 days before measurement
2,WAY,31418,9:30:00,LH,031418-LH-EOK2330,Paspalum,10.36021275,0.099902098,203.9310249,2.523767002,1.834696602,19.67647133,2.489,2.190893583,1,4.381787166,13.18247102,19.67647133,11.98090286,399.3560832,385.2342834,3.303204409,6.427949683,15.7194245,30.58957736,199.7371816,1700.080282,47.96520131,72.38930054,1.682562351,0.078343749,0.888888896,-0.219565243,2.737391472,1,0,0.159999996,111115,0.802479637,0.002523767,292.8264713,286.332471,272.012839,0.751447245,2.30001138,31.77280837,25.34485869,16.42947117,1.875357787,0.097675159,0.465314778,1.410043009,0.06124322,14.76242531,0.52936845,20.49047258,382.0423696,0.005556656,Turf collected 2 days before measurement
3,WAY,31418,9:30:00,LH,031418-LH-EOK2330,Paspalum,11.94285305,0.103823322,183.6625956,2.837298202,1.97760042,22.16931826,2.489,2.190893583,1,4.381787166,17.54129791,22.16931826,16.973047,400.3586324,384.117157,6.216831875,9.718335088,22.3620252,34.95697479,199.7257294,1699.156689,48.17987722,72.38198395,2.256364584,0.06512773,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.802433625,0.002837298,295.3193183,290.6912979,271.8650642,0.780612313,2.681032792,37.04005661,27.32172152,19.85530809,2.325669743,0.101420217,0.703432371,1.622237371,0.063599247,13.29386253,0.478140906,26.21976846,380.437642,0.008230923,Turf collected 2 days before measurement
4,WAY,31418,9:30:00,LH,031418-LH-EOK2330,Paspalum,13.20515417,0.11110978,173.7570921,3.370912243,2.189869869,24.42171491,2.489,2.190893583,1,4.381787166,21.82827593,24.42171491,21.96430054,399.8786764,381.8178467,8.034639359,12.18442631,22.14484227,33.5823616,199.7203969,1698.714575,45.5598114,72.37275035,2.256364584,0.06512773,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.802412201,0.003370912,297.5717149,294.9782759,271.794326,0.758853116,3.071690312,42.44263615,30.25820984,23.12499542,2.841125142,0.108362018,0.881820443,1.959304699,0.067967884,12.57527864,0.455078224,28.51864056,377.7494249,0.009969423,Turf collected 2 days before measurement
5,WAY,31418,9:30:00,LH,031418-LH-EOK2330,Paspalum,14.3398545,0.111799398,155.7155414,3.641913828,2.338560897,26.76640549,2.489,2.190893583,1,4.381787166,26.1991066,26.76640549,26.94818268,399.2726013,379.6750814,12.00460567,16.46933187,25.44365794,34.90660172,199.6860026,1699.739836,42.21491623,72.36405792,2.256364584,0.06512773,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.802274016,0.003641914,299.9164055,299.3491066,271.9583676,0.843337325,3.530348582,48.78593993,32.31660806,26.48275604,3.471859534,0.109017847,1.191787685,2.28007185,0.068380716,11.26820828,0.410126249,33.22781915,375.2570659,0.012697615,Turf collected 2 days before measurement
6,WAY,31418,9:30:00,LH,031418-LH-EOK2330,Paspalum,15.99997099,0.119022744,141.966746,4.434052492,2.660714523,29.57909203,2.489,2.190893583,1,4.381787166,30.85116285,29.57909203,31.94172236,399.9439514,377.9105835,15.28669173,20.69949671,24.72812144,33.48400497,199.6729696,1699.58811,29.33870684,72.36011963,2.256364584,0.06512773,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.802221654,0.004434052,302.729092,304.0011628,271.9340916,0.736119881,4.158532581,57.46995164,36.77045492,30.21512744,4.313381343,0.115875189,1.497818058,2.815563285,0.072698353,10.27273069,0.375662228,35.17644511,372.981097,0.01508981,Turf collected 2 days before measurement
7,WAY,31418,9:30:00,LH,031418-LH-EOK2330,Paspalum,13.48505699,0.109543609,159.615677,4.843561206,3.11969295,33.05356267,2.489,2.190893583,1,4.381787166,35.67707011,33.05356267,36.93863653,399.407428,380.2991984,21.04654452,26.92243894,25.96618576,33.21557032,199.6471293,1699.261841,33.78718618,72.34260356,6.836879253,-0.150258854,0.777777791,-0.219565243,2.737391472,1,0,0.159999996,111115,0.802117836,0.004843561,306.2035627,308.8270701,271.8818885,0.729355485,5.067332271,70.0463079,43.12386896,34.36531639,5.452856517,0.106871814,1.947639321,3.505217196,0.067029897,11.5470139,0.419708568,36.87625268,376.1445404,0.013220568,Turf collected 2 days before measurement
8,WAY,31418,9:30:00,LH,031418-LH-EOK2330,Paspalum,13.21483348,0.104854513,153.574281,5.185196359,3.464693324,34.98287175,2.489,2.190893583,1,4.381787166,39.9676501,34.98287175,41.93280818,399.8726908,380.9372864,23.84495888,30.11399295,23.30605952,29.43341192,199.6687775,1699.832129,29.89056015,72.33590342,8.208503723,-0.237067714,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.802204811,0.005185196,308.1328718,313.1176501,271.9731345,0.860017069,5.643016209,78.01127707,47.89728412,37.47526093,6.470287057,0.102404016,2.178322884,4.291964173,0.064218251,11.10893398,0.403148344,36.60996443,376.8658825,0.01283727,Turf collected 2 days before measurement
9,WAY,31418,9:30:00,LH,031418-LH-EOK2330,Paspalum,11.85983213,0.097366472,158.6025923,5.560614363,3.977311987,36.66265869,2.489,2.190893583,1,4.381787166,44.2800148,36.66265869,46.92136866,399.8403463,382.4077922,23.86929258,30.58807818,18.59118373,23.82426682,199.6941071,1699.747225,37.06840337,72.32897034,8.208503723,-0.237067714,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.802306577,0.005560614,309.8126587,317.4300148,271.9595499,1.020573267,6.189716184,85.57727479,54.98919661,40.47133675,7.6023825,0.095249879,2.212404196,5.389978304,0.059717786,11.47156178,0.414748721,33.26389366,378.7538554,0.01041559,Turf collected 2 days before measurement
10,WAY,31418,9:30:00,LH,031418-LH-EOK2330,Paspalum,10.98858865,0.089950187,153.3934444,6.297858848,4.832307469,39.20597992,2.489,2.190893583,1,4.381787166,46.59996516,39.20597992,49.58403295,399.5543477,382.8548787,23.82261492,31.42468821,16.4661869,21.72072906,199.7188944,1700.068107,40.03650869,72.31856791,9.84965992,-0.301980972,0.911111116,-0.219565243,2.737391472,1,0,0.159999996,111115,0.802406165,0.006297859,312.3559799,319.7499652,272.0108911,0.754539643,7.104895916,98.24442207,66.81973386,42.90297254,8.643641716,0.088140808,2.272588448,6.371053268,0.055247758,11.09319442,0.400656508,28.73384564,379.4693664,0.008320698,Turf collected 2 days before measurement
